host,neighboraddress,timestamp,vrf,lastchange,peer_as,sessionstate,prefixesreceived,prefixaccepted,prefixsent,peergroups,neighborinfo,DeviceType
d14x98anru2.network.microsoft.com,172.199.160.183,11:54.1,default,32:22.4,,ESTABLISHED,2,2,58,corp-tor15-v4,d14x98anruu,TS
d14x98anru2.network.microsoft.com,172.199.160.251,11:54.1,default,45:17.9,,ESTABLISHED,0,0,0,corp-tor-v4,d14x98an5uc,TS
d14x98anru2.network.microsoft.com,172.199.160.53,11:54.1,default,25:42.6,,ESTABLISHED,0,0,0,corp-tsl-v4,d14x98anrz1,TS
d14x98anru2.network.microsoft.com,172.199.160.69,11:54.1,default,37:08.7,,ESTABLISHED,0,0,0,corp-tor2-v4,d14x98an52a,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::10d,11:54.1,default,05:32.4,,ACTIVE,0,0,0,corp-tor10-v6,d14x98anrur,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::ee,11:54.1,default,00:54.9,,IDLE,0,0,0,corp-tor7-v6,d14x98anrun,TS
d14x98anru2.network.microsoft.com,172.199.160.167,11:54.1,default,56:53.3,,ESTABLISHED,0,2,58,corp-tor9-v4,d14x98anruq,TS
d14x98anru2.network.microsoft.com,172.199.160.177,11:54.1,default,51:01.0,,ESTABLISHED,0,0,58,corp-tor12-v4,d14x98anrut,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::ae,11:54.1,default,26:37.3,,ESTABLISHED,2,2,0,corp-tor3-v6,d14x98anruf,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::de,11:54.1,default,51:33.1,,IDLE,0,0,0,corp-tor6-v6,d14x98anrul,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::115,11:54.1,default,05:31.2,,IDLE,0,0,0,corp-tor11-v6,d14x98anrus,TS
d14x98anru2.network.microsoft.com,172.199.160.26,11:54.1,default,08:12.8,,ESTABLISHED,250,250,280,corp-bl-v4,d14x98anrb2,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::ba,11:54.1,default,02:51.6,,ESTABLISHED,0,0,40,corp-tor4-v6,d14x98anrug,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::9a,11:54.1,default,37:09.8,,ESTABLISHED,0,0,0,corp-tor2-v6,d14x98anruc,TS
d14x98anru2.network.microsoft.com,172.199.160.71,11:54.1,default,21:34.4,,ESTABLISHED,2,0,0,corp-tor2-v4,d14x98an52b,TS
d14x98anru2.network.microsoft.com,172.199.160.28,11:54.1,default,08:12.5,,ESTABLISHED,0,250,347,corp-bl-v4,d14x98anrb3,TS
